# Intensity Error [0.5H,-0.5H,0] DeltaE
#  shape: 34x70
8.336650e+01 1.575481e+00 -1.985000e+00 5.000000e-02
2.134916e+01 8.127497e-01 -1.985000e+00 1.500000e-01
2.742879e+00 2.956929e-01 -1.985000e+00 2.500000e-01
9.768133e-01 1.754412e-01 -1.985000e+00 3.500000e-01
4.675792e-01 1.168950e-01 -1.985000e+00 4.500000e-01
3.710352e-01 1.029069e-01 -1.985000e+00 5.500000e-01
3.515399e-01 9.749988e-02 -1.985000e+00 6.500000e-01
5.376689e-01 1.173292e-01 -1.985000e+00 7.500000e-01
6.386946e-01 1.277392e-01 -1.985000e+00 8.500000e-01
4.040922e-01 1.071848e-01 -1.985000e+00 9.500000e-01
4.345647e-01 1.053976e-01 -1.985000e+00 1.050000e+00
3.270113e-01 9.069679e-02 -1.985000e+00 1.150000e+00
2.300022e-01 7.666761e-02 -1.985000e+00 1.250000e+00
2.271871e-01 7.572922e-02 -1.985000e+00 1.350000e+00
3.034277e-01 8.759222e-02 -1.985000e+00 1.450000e+00
1.776945e-01 8.426508e-02 -1.985000e+00 1.550000e+00
1.273557e-01 6.737889e-02 -1.985000e+00 1.650000e+00
2.984307e-01 8.998062e-02 -1.985000e+00 1.750000e+00
5.684027e-02 5.670524e-02 -1.985000e+00 1.850000e+00
3.045336e-01 9.630225e-02 -1.985000e+00 1.950000e+00
6.579886e-02 4.652683e-02 -1.985000e+00 2.050000e+00
1.048612e-01 6.054171e-02 -1.985000e+00 2.150000e+00
1.512413e-01 9.267339e-02 -1.985000e+00 2.250000e+00
1.547709e-01 9.463960e-02 -1.985000e+00 2.350000e+00
7.705056e-02 7.726585e-02 -1.985000e+00 2.450000e+00
7.759185e-02 7.752014e-02 -1.985000e+00 2.550000e+00
1.569919e-01 7.849646e-02 -1.985000e+00 2.650000e+00
8.026391e-02 8.022897e-02 -1.985000e+00 2.750000e+00
-3.162364e-04 7.966163e-02 -1.985000e+00 2.850000e+00
-4.194299e-02 7.268945e-02 -1.985000e+00 2.950000e+00
8.922373e-02 6.309077e-02 -1.985000e+00 3.050000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.150000e+00
3.613628e-04 7.207812e-02 -1.985000e+00 3.250000e+00
1.182082e-01 1.178859e-01 -1.985000e+00 3.350000e+00
1.355512e-01 9.584990e-02 -1.985000e+00 3.450000e+00
5.790469e-01 2.188600e-01 -1.985000e+00 3.550000e+00
2.276834e-01 1.609965e-01 -1.985000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.750000e+00
2.931413e-01 2.931413e-01 -1.985000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.950000e+00
nan nan -1.985000e+00 4.050000e+00
nan nan -1.985000e+00 4.150000e+00
nan nan -1.985000e+00 4.250000e+00
nan nan -1.985000e+00 4.350000e+00
nan nan -1.985000e+00 4.450000e+00
nan nan -1.985000e+00 4.550000e+00
nan nan -1.985000e+00 4.650000e+00
nan nan -1.985000e+00 4.750000e+00
nan nan -1.985000e+00 4.850000e+00
nan nan -1.985000e+00 4.950000e+00
nan nan -1.985000e+00 5.050000e+00
nan nan -1.985000e+00 5.150000e+00
nan nan -1.985000e+00 5.250000e+00
nan nan -1.985000e+00 5.350000e+00
nan nan -1.985000e+00 5.450000e+00
nan nan -1.985000e+00 5.550000e+00
nan nan -1.985000e+00 5.650000e+00
nan nan -1.985000e+00 5.750000e+00
nan nan -1.985000e+00 5.850000e+00
nan nan -1.985000e+00 5.950000e+00
nan nan -1.985000e+00 6.050000e+00
nan nan -1.985000e+00 6.150000e+00
nan nan -1.985000e+00 6.250000e+00
nan nan -1.985000e+00 6.350000e+00
nan nan -1.985000e+00 6.450000e+00
nan nan -1.985000e+00 6.550000e+00
nan nan -1.985000e+00 6.650000e+00
nan nan -1.985000e+00 6.750000e+00
nan nan -1.985000e+00 6.850000e+00
nan nan -1.985000e+00 6.950000e+00
2.418436e+01 7.805447e-01 -1.955000e+00 5.000000e-02
9.098728e+00 4.815565e-01 -1.955000e+00 1.500000e-01
2.852364e+00 2.757491e-01 -1.955000e+00 2.500000e-01
1.904407e+00 2.276206e-01 -1.955000e+00 3.500000e-01
7.466693e-01 1.464342e-01 -1.955000e+00 4.500000e-01
3.246794e-01 9.789465e-02 -1.955000e+00 5.500000e-01
2.433557e-01 9.620007e-02 -1.955000e+00 6.500000e-01
5.514692e-01 1.299829e-01 -1.955000e+00 7.500000e-01
6.674981e-01 1.423115e-01 -1.955000e+00 8.500000e-01
6.584008e-01 1.372863e-01 -1.955000e+00 9.500000e-01
3.606803e-01 1.000349e-01 -1.955000e+00 1.050000e+00
2.669701e-01 8.442361e-02 -1.955000e+00 1.150000e+00
1.763698e-01 6.666155e-02 -1.955000e+00 1.250000e+00
4.994147e-02 6.123308e-02 -1.955000e+00 1.350000e+00
7.409601e-02 4.277935e-02 -1.955000e+00 1.450000e+00
1.742941e-01 6.587715e-02 -1.955000e+00 1.550000e+00
9.921782e-02 6.064884e-02 -1.955000e+00 1.650000e+00
2.950331e-01 9.201391e-02 -1.955000e+00 1.750000e+00
2.239730e-01 7.465784e-02 -1.955000e+00 1.850000e+00
1.471381e-01 6.006911e-02 -1.955000e+00 1.950000e+00
1.962579e-01 7.757617e-02 -1.955000e+00 2.050000e+00
7.444200e-02 4.297913e-02 -1.955000e+00 2.150000e+00
3.232189e-01 8.964497e-02 -1.955000e+00 2.250000e+00
1.038891e-01 5.194471e-02 -1.955000e+00 2.350000e+00
1.373297e-01 7.260374e-02 -1.955000e+00 2.450000e+00
2.965180e-02 7.821015e-02 -1.955000e+00 2.550000e+00
6.694362e-02 6.680865e-02 -1.955000e+00 2.650000e+00
7.750529e-02 7.730664e-02 -1.955000e+00 2.750000e+00
4.284950e-02 7.473636e-02 -1.955000e+00 2.850000e+00
4.952242e-02 4.952242e-02 -1.955000e+00 2.950000e+00
5.651556e-02 5.651557e-02 -1.955000e+00 3.050000e+00
-6.333490e-02 6.333490e-02 -1.955000e+00 3.150000e+00
1.463412e-01 1.034792e-01 -1.955000e+00 3.250000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.350000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.450000e+00
1.115487e-01 1.115487e-01 -1.955000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.650000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.750000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.955000e+00 3.950000e+00
nan nan -1.955000e+00 4.050000e+00
nan nan -1.955000e+00 4.150000e+00
nan nan -1.955000e+00 4.250000e+00
nan nan -1.955000e+00 4.350000e+00
nan nan -1.955000e+00 4.450000e+00
nan nan -1.955000e+00 4.550000e+00
nan nan -1.955000e+00 4.650000e+00
nan nan -1.955000e+00 4.750000e+00
nan nan -1.955000e+00 4.850000e+00
nan nan -1.955000e+00 4.950000e+00
nan nan -1.955000e+00 5.050000e+00
nan nan -1.955000e+00 5.150000e+00
nan nan -1.955000e+00 5.250000e+00
nan nan -1.955000e+00 5.350000e+00
nan nan -1.955000e+00 5.450000e+00
nan nan -1.955000e+00 5.550000e+00
nan nan -1.955000e+00 5.650000e+00
nan nan -1.955000e+00 5.750000e+00
nan nan -1.955000e+00 5.850000e+00
nan nan -1.955000e+00 5.950000e+00
nan nan -1.955000e+00 6.050000e+00
nan nan -1.955000e+00 6.150000e+00
nan nan -1.955000e+00 6.250000e+00
nan nan -1.955000e+00 6.350000e+00
nan nan -1.955000e+00 6.450000e+00
nan nan -1.955000e+00 6.550000e+00
nan nan -1.955000e+00 6.650000e+00
nan nan -1.955000e+00 6.750000e+00
nan nan -1.955000e+00 6.850000e+00
nan nan -1.955000e+00 6.950000e+00
2.160345e+01 7.290825e-01 -1.925000e+00 5.000000e-02
7.673924e+00 4.358502e-01 -1.925000e+00 1.500000e-01
