# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
2.138877e+02 5.042793e+00 -1.985000e+00 5.000000e-02
5.922611e+01 2.539301e+00 -1.985000e+00 1.500000e-01
4.554737e+00 7.698923e-01 -1.985000e+00 2.500000e-01
1.234475e+00 4.114920e-01 -1.985000e+00 3.500000e-01
4.199253e-01 2.099631e-01 -1.985000e+00 4.500000e-01
1.077145e-01 1.077145e-01 -1.985000e+00 5.500000e-01
2.587208e-01 1.829438e-01 -1.985000e+00 6.500000e-01
1.041246e-01 1.041246e-01 -1.985000e+00 7.500000e-01
2.649770e-01 1.529846e-01 -1.985000e+00 8.500000e-01
1.043416e-01 1.043416e-01 -1.985000e+00 9.500000e-01
2.311723e-01 1.634637e-01 -1.985000e+00 1.050000e+00
2.703240e-01 2.016987e-01 -1.985000e+00 1.150000e+00
9.355932e-02 1.624168e-01 -1.985000e+00 1.250000e+00
5.872010e-01 2.626047e-01 -1.985000e+00 1.350000e+00
8.017641e-01 2.834673e-01 -1.985000e+00 1.450000e+00
5.250145e-01 2.143367e-01 -1.985000e+00 1.550000e+00
1.069683e-01 1.069683e-01 -1.985000e+00 1.650000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 1.750000e+00
1.904736e-01 1.346852e-01 -1.985000e+00 1.850000e+00
3.289052e-01 1.898940e-01 -1.985000e+00 1.950000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.050000e+00
1.278430e-01 1.278430e-01 -1.985000e+00 2.150000e+00
-1.319529e-01 1.319529e-01 -1.985000e+00 2.250000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.350000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.450000e+00
1.369454e-01 1.369454e-01 -1.985000e+00 2.550000e+00
1.693928e-01 1.693928e-01 -1.985000e+00 2.650000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.750000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 2.850000e+00
2.739511e-01 1.937128e-01 -1.985000e+00 2.950000e+00
-1.159845e-01 1.159845e-01 -1.985000e+00 3.050000e+00
-9.179564e-02 1.583094e-01 -1.985000e+00 3.150000e+00
2.274865e-01 1.608573e-01 -1.985000e+00 3.250000e+00
1.016232e-01 1.016232e-01 -1.985000e+00 3.350000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 3.450000e+00
-1.108502e-01 1.108502e-01 -1.985000e+00 3.550000e+00
1.827049e-01 1.291920e-01 -1.985000e+00 3.650000e+00
8.247245e-02 8.247245e-02 -1.985000e+00 3.750000e+00
-4.056577e-04 1.582584e-01 -1.985000e+00 3.850000e+00
8.590726e-02 1.487476e-01 -1.985000e+00 3.950000e+00
-3.790039e-04 1.279873e-01 -1.985000e+00 4.050000e+00
2.175086e-01 1.538037e-01 -1.985000e+00 4.150000e+00
7.806257e-02 1.363172e-01 -1.985000e+00 4.250000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 4.350000e+00
0.000000e+00 0.000000e+00 -1.985000e+00 4.450000e+00
-8.007200e-02 1.404228e-01 -1.985000e+00 4.550000e+00
1.056409e-01 1.819068e-01 -1.985000e+00 4.650000e+00
1.527921e-01 2.391228e-01 -1.985000e+00 4.750000e+00
1.001472e-01 1.001472e-01 -1.985000e+00 4.850000e+00
9.891190e-04 1.168477e-01 -1.985000e+00 4.950000e+00
1.334904e-03 1.272592e-01 -1.985000e+00 5.050000e+00
-2.959755e-04 1.374526e-01 -1.985000e+00 5.150000e+00
8.990642e-02 8.990642e-02 -1.985000e+00 5.250000e+00
2.225178e-01 1.573482e-01 -1.985000e+00 5.350000e+00
9.214174e-04 1.386066e-01 -1.985000e+00 5.450000e+00
7.030591e-04 1.789175e-01 -1.985000e+00 5.550000e+00
-1.909115e-01 1.906196e-01 -1.985000e+00 5.650000e+00
