# Intensity Error [-0.667H,0.333H,0] DeltaE
#  shape: 34x70
2.504859e+01 1.008420e+00 3.483300e-01 5.000000e-02
7.244542e+00 5.297743e-01 3.483300e-01 1.500000e-01
1.598922e+00 2.528121e-01 3.483300e-01 2.500000e-01
5.484940e-01 1.567148e-01 3.483300e-01 3.500000e-01
3.557675e-01 1.185894e-01 3.483300e-01 4.500000e-01
3.569196e-01 1.189734e-01 3.483300e-01 5.500000e-01
1.938735e-01 8.670298e-02 3.483300e-01 6.500000e-01
-9.577394e-05 5.690712e-02 3.483300e-01 7.500000e-01
1.151785e-01 6.649832e-02 3.483300e-01 8.500000e-01
7.989018e-02 7.988380e-02 3.483300e-01 9.500000e-01
7.700028e-02 5.444742e-02 3.483300e-01 1.050000e+00
3.976745e-02 3.976745e-02 3.483300e-01 1.150000e+00
3.866947e-02 3.866947e-02 3.483300e-01 1.250000e+00
3.915092e-02 3.915092e-02 3.483300e-01 1.350000e+00
1.148442e-01 6.630539e-02 3.483300e-01 1.450000e+00
7.772073e-02 5.495707e-02 3.483300e-01 1.550000e+00
3.765689e-02 8.415513e-02 3.483300e-01 1.650000e+00
7.650087e-02 5.409431e-02 3.483300e-01 1.750000e+00
1.857474e-01 8.306920e-02 3.483300e-01 1.850000e+00
1.141504e-01 6.590482e-02 3.483300e-01 1.950000e+00
3.670788e-02 3.670788e-02 3.483300e-01 2.050000e+00
1.491586e-01 7.457955e-02 3.483300e-01 2.150000e+00
7.309373e-02 7.292065e-02 3.483300e-01 2.250000e+00
2.180765e-01 8.902957e-02 3.483300e-01 2.350000e+00
3.558532e-02 7.999778e-02 3.483300e-01 2.450000e+00
1.446283e-01 7.231433e-02 3.483300e-01 2.550000e+00
6.955121e-02 8.540712e-02 3.483300e-01 2.650000e+00
7.201932e-02 5.092538e-02 3.483300e-01 2.750000e+00
2.010292e-04 6.899898e-02 3.483300e-01 2.850000e+00
1.046668e-01 7.798274e-02 3.483300e-01 2.950000e+00
6.782998e-02 6.798967e-02 3.483300e-01 3.050000e+00
1.343566e-01 1.064999e-01 3.483300e-01 3.150000e+00
6.649799e-02 4.702119e-02 3.483300e-01 3.250000e+00
9.778327e-02 7.282276e-02 3.483300e-01 3.350000e+00
9.830006e-02 5.675372e-02 3.483300e-01 3.450000e+00
1.621886e-01 8.566943e-02 3.483300e-01 3.550000e+00
1.896471e-01 1.001538e-01 3.483300e-01 3.650000e+00
1.226991e-01 8.692612e-02 3.483300e-01 3.750000e+00
2.369403e-01 9.368424e-02 3.483300e-01 3.850000e+00
1.426963e-01 8.575231e-02 3.483300e-01 3.950000e+00
1.666521e-01 7.842091e-02 3.483300e-01 4.050000e+00
1.833340e-01 8.679775e-02 3.483300e-01 4.150000e+00
2.445665e-01 9.813089e-02 3.483300e-01 4.250000e+00
-2.698975e-04 7.128145e-02 3.483300e-01 4.350000e+00
6.359149e-02 6.982983e-02 3.483300e-01 4.450000e+00
2.212118e-01 8.279665e-02 3.483300e-01 4.550000e+00
9.874552e-02 9.908057e-02 3.483300e-01 4.650000e+00
1.160830e-01 1.008692e-01 3.483300e-01 4.750000e+00
1.078570e-01 9.542527e-02 3.483300e-01 4.850000e+00
2.464687e-01 1.102265e-01 3.483300e-01 4.950000e+00
-8.772529e-02 1.964313e-01 3.483300e-01 5.050000e+00
0.000000e+00 0.000000e+00 3.483300e-01 5.150000e+00
nan nan 3.483300e-01 5.250000e+00
nan nan 3.483300e-01 5.350000e+00
nan nan 3.483300e-01 5.450000e+00
nan nan 3.483300e-01 5.550000e+00
nan nan 3.483300e-01 5.650000e+00
nan nan 3.483300e-01 5.750000e+00
nan nan 3.483300e-01 5.850000e+00
nan nan 3.483300e-01 5.950000e+00
nan nan 3.483300e-01 6.050000e+00
nan nan 3.483300e-01 6.150000e+00
nan nan 3.483300e-01 6.250000e+00
nan nan 3.483300e-01 6.350000e+00
nan nan 3.483300e-01 6.450000e+00
nan nan 3.483300e-01 6.550000e+00
nan nan 3.483300e-01 6.650000e+00
nan nan 3.483300e-01 6.750000e+00
nan nan 3.483300e-01 6.850000e+00
nan nan 3.483300e-01 6.950000e+00
2.323724e+01 9.733026e-01 3.783300e-01 5.000000e-02
6.317634e+00 5.042028e-01 3.783300e-01 1.500000e-01
1.952656e+00 2.789514e-01 3.783300e-01 2.500000e-01
7.843383e-01 1.799400e-01 3.783300e-01 3.500000e-01
3.146735e-01 1.112541e-01 3.783300e-01 4.500000e-01
2.492660e-01 1.017625e-01 3.783300e-01 5.500000e-01
7.841457e-02 5.544754e-02 3.783300e-01 6.500000e-01
0.000000e+00 0.000000e+00 3.783300e-01 7.500000e-01
3.960581e-02 3.960581e-02 3.783300e-01 8.500000e-01
-4.089642e-02 4.089642e-02 3.783300e-01 9.500000e-01
-2.238014e-04 5.657863e-02 3.783300e-01 1.050000e+00
-4.022100e-02 4.022099e-02 3.783300e-01 1.150000e+00
4.005914e-02 4.005914e-02 3.783300e-01 1.250000e+00
7.931137e-02 5.608161e-02 3.783300e-01 1.350000e+00
4.032226e-02 4.032226e-02 3.783300e-01 1.450000e+00
1.160137e-01 6.698056e-02 3.783300e-01 1.550000e+00
8.002670e-02 5.658757e-02 3.783300e-01 1.650000e+00
7.638541e-02 5.401272e-02 3.783300e-01 1.750000e+00
1.182094e-01 6.824837e-02 3.783300e-01 1.850000e+00
7.588609e-02 5.365960e-02 3.783300e-01 1.950000e+00
-3.347258e-06 5.450604e-02 3.783300e-01 2.050000e+00
-1.124382e-01 8.359546e-02 3.783300e-01 2.150000e+00
2.250759e-01 1.061138e-01 3.783300e-01 2.250000e+00
1.100783e-01 6.355403e-02 3.783300e-01 2.350000e+00
1.114169e-01 8.294449e-02 3.783300e-01 2.450000e+00
1.429483e-01 8.749681e-02 3.783300e-01 2.550000e+00
3.679249e-02 8.148760e-02 3.783300e-01 2.650000e+00
3.566935e-02 6.144718e-02 3.783300e-01 2.750000e+00
1.054303e-01 7.880617e-02 3.783300e-01 2.850000e+00
6.077246e-08 5.012082e-02 3.783300e-01 2.950000e+00
-3.465870e-02 3.465870e-02 3.783300e-01 3.050000e+00
-3.479751e-02 6.009962e-02 3.783300e-01 3.150000e+00
1.328006e-01 6.640055e-02 3.783300e-01 3.250000e+00
1.015095e-01 8.926086e-02 3.783300e-01 3.350000e+00
6.538875e-02 6.541811e-02 3.783300e-01 3.450000e+00
9.797280e-02 5.656463e-02 3.783300e-01 3.550000e+00
-3.235554e-02 7.293711e-02 3.783300e-01 3.650000e+00
9.528391e-02 8.367587e-02 3.783300e-01 3.750000e+00
1.221163e-01 6.105858e-02 3.783300e-01 3.850000e+00
2.952322e-02 6.638301e-02 3.783300e-01 3.950000e+00
-5.730975e-02 5.729836e-02 3.783300e-01 4.050000e+00
2.730097e-02 7.197058e-02 3.783300e-01 4.150000e+00
1.284151e-01 6.796108e-02 3.783300e-01 4.250000e+00
2.397980e-01 8.308388e-02 3.783300e-01 4.350000e+00
1.128317e-01 9.275270e-02 3.783300e-01 4.450000e+00
1.180072e-01 7.078878e-02 3.783300e-01 4.550000e+00
2.141967e-01 1.000436e-01 3.783300e-01 4.650000e+00
2.176862e-01 1.208246e-01 3.783300e-01 4.750000e+00
1.923884e-01 8.604016e-02 3.783300e-01 4.850000e+00
3.663257e-01 1.571960e-01 3.783300e-01 4.950000e+00
1.720444e-04 1.348283e-01 3.783300e-01 5.050000e+00
4.547236e-01 4.547236e-01 3.783300e-01 5.150000e+00
nan nan 3.783300e-01 5.250000e+00
nan nan 3.783300e-01 5.350000e+00
nan nan 3.783300e-01 5.450000e+00
nan nan 3.783300e-01 5.550000e+00
nan nan 3.783300e-01 5.650000e+00
nan nan 3.783300e-01 5.750000e+00
nan nan 3.783300e-01 5.850000e+00
nan nan 3.783300e-01 5.950000e+00
nan nan 3.783300e-01 6.050000e+00
nan nan 3.783300e-01 6.150000e+00
nan nan 3.783300e-01 6.250000e+00
