# Intensity Error [-0.167K,0.333K,0] DeltaE
#  shape: 20x70
2.545178e+01 9.293267e-01 2.025000e+00 5.000000e-02
8.085442e+00 5.208298e-01 2.025000e+00 1.500000e-01
1.738026e+00 2.433729e-01 2.025000e+00 2.500000e-01
5.318132e-01 1.546793e-01 2.025000e+00 3.500000e-01
4.257722e-01 1.327613e-01 2.025000e+00 4.500000e-01
2.524001e-01 1.195377e-01 2.025000e+00 5.500000e-01
2.118693e-01 9.998230e-02 2.025000e+00 6.500000e-01
1.760369e-01 9.304722e-02 2.025000e+00 7.500000e-01
-1.763668e-01 9.335073e-02 2.025000e+00 8.500000e-01
1.026746e-01 9.048666e-02 2.025000e+00 9.500000e-01
-1.364678e-01 9.663167e-02 2.025000e+00 1.050000e+00
1.955333e-01 7.982633e-02 2.025000e+00 1.150000e+00
3.221633e-02 3.221633e-02 2.025000e+00 1.250000e+00
6.159555e-02 4.355467e-02 2.025000e+00 1.350000e+00
9.090847e-02 8.017509e-02 2.025000e+00 1.450000e+00
1.742933e-01 8.212156e-02 2.025000e+00 1.550000e+00
1.138680e-01 6.973664e-02 2.025000e+00 1.650000e+00
2.787014e-02 7.386637e-02 2.025000e+00 1.750000e+00
8.281544e-02 6.179388e-02 2.025000e+00 1.850000e+00
2.750024e-02 6.139992e-02 2.025000e+00 1.950000e+00
2.720085e-02 6.039360e-02 2.025000e+00 2.050000e+00
2.632764e-02 4.538378e-02 2.025000e+00 2.150000e+00
2.032331e-01 7.185402e-02 2.025000e+00 2.250000e+00
9.980864e-02 7.930838e-02 2.025000e+00 2.350000e+00
-4.976525e-02 4.965825e-02 2.025000e+00 2.450000e+00
4.805055e-02 6.774390e-02 2.025000e+00 2.550000e+00
-6.955319e-02 7.688139e-02 2.025000e+00 2.650000e+00
1.130749e-01 7.502535e-02 2.025000e+00 2.750000e+00
1.328779e-01 7.005565e-02 2.025000e+00 2.850000e+00
2.213111e-02 4.979405e-02 2.025000e+00 2.950000e+00
1.524226e-01 8.423699e-02 2.025000e+00 3.050000e+00
2.188027e-02 6.621672e-02 2.025000e+00 3.150000e+00
1.561922e-01 5.903524e-02 2.025000e+00 3.250000e+00
-1.289447e-04 6.399880e-02 2.025000e+00 3.350000e+00
3.444728e-01 8.894325e-02 2.025000e+00 3.450000e+00
2.076890e-01 9.518203e-02 2.025000e+00 3.550000e+00
3.642009e-01 9.651573e-02 2.025000e+00 3.650000e+00
1.277934e-01 7.990394e-02 2.025000e+00 3.750000e+00
1.392427e-01 6.597570e-02 2.025000e+00 3.850000e+00
1.755013e-01 6.464521e-02 2.025000e+00 3.950000e+00
2.182277e-01 7.687584e-02 2.025000e+00 4.050000e+00
3.965467e-02 5.640938e-02 2.025000e+00 4.150000e+00
-1.711352e-04 5.446496e-02 2.025000e+00 4.250000e+00
1.067187e-01 7.082820e-02 2.025000e+00 4.350000e+00
3.603286e-02 3.588724e-02 2.025000e+00 4.450000e+00
3.694266e-02 5.857065e-02 2.025000e+00 4.550000e+00
1.696131e-02 4.469043e-02 2.025000e+00 4.650000e+00
7.117621e-02 6.196711e-02 2.025000e+00 4.750000e+00
2.276285e-01 8.388662e-02 2.025000e+00 4.850000e+00
-7.546598e-04 1.158809e-01 2.025000e+00 4.950000e+00
3.069136e-01 3.069136e-01 2.025000e+00 5.050000e+00
nan nan 2.025000e+00 5.150000e+00
nan nan 2.025000e+00 5.250000e+00
nan nan 2.025000e+00 5.350000e+00
nan nan 2.025000e+00 5.450000e+00
nan nan 2.025000e+00 5.550000e+00
nan nan 2.025000e+00 5.650000e+00
nan nan 2.025000e+00 5.750000e+00
nan nan 2.025000e+00 5.850000e+00
nan nan 2.025000e+00 5.950000e+00
nan nan 2.025000e+00 6.050000e+00
nan nan 2.025000e+00 6.150000e+00
nan nan 2.025000e+00 6.250000e+00
nan nan 2.025000e+00 6.350000e+00
nan nan 2.025000e+00 6.450000e+00
