# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
4.267925e+01 1.109022e+00 2.500000e-02 5.000000e-02
9.343983e+00 5.215144e-01 2.500000e-02 1.500000e-01
1.023065e+00 1.778142e-01 2.500000e-02 2.500000e-01
4.043190e-01 1.080590e-01 2.500000e-02 3.500000e-01
5.550785e-01 1.273440e-01 2.500000e-02 4.500000e-01
4.329514e-01 1.189912e-01 2.500000e-02 5.500000e-01
2.900949e-01 9.173618e-02 2.500000e-02 6.500000e-01
2.318597e-01 8.197490e-02 2.500000e-02 7.500000e-01
1.720152e-01 7.022495e-02 2.500000e-02 8.500000e-01
1.764845e-01 7.204962e-02 2.500000e-02 9.500000e-01
8.328206e-02 4.808307e-02 2.500000e-02 1.050000e+00
8.445713e-06 4.113318e-02 2.500000e-02 1.150000e+00
1.368410e-01 6.119737e-02 2.500000e-02 1.250000e+00
3.163347e-01 9.537869e-02 2.500000e-02 1.350000e+00
2.193125e-01 9.489728e-02 2.500000e-02 1.450000e+00
5.602383e-01 1.252735e-01 2.500000e-02 1.550000e+00
6.296173e-01 1.312847e-01 2.500000e-02 1.650000e+00
7.427579e-01 1.531766e-01 2.500000e-02 1.750000e+00
9.257884e-01 1.722274e-01 2.500000e-02 1.850000e+00
8.111525e-01 1.480959e-01 2.500000e-02 1.950000e+00
4.863493e-01 1.146341e-01 2.500000e-02 2.050000e+00
3.171634e-01 9.892991e-02 2.500000e-02 2.150000e+00
5.587426e-01 1.276458e-01 2.500000e-02 2.250000e+00
2.074089e-01 8.189902e-02 2.500000e-02 2.350000e+00
2.605572e-01 8.239566e-02 2.500000e-02 2.450000e+00
3.343549e-01 9.273387e-02 2.500000e-02 2.550000e+00
3.093139e-01 8.929148e-02 2.500000e-02 2.650000e+00
1.289053e-01 5.764853e-02 2.500000e-02 2.750000e+00
4.623293e-01 1.205159e-01 2.500000e-02 2.850000e+00
4.597208e-01 1.444816e-01 2.500000e-02 2.950000e+00
6.218330e-01 1.670488e-01 2.500000e-02 3.050000e+00
5.575949e-01 1.434421e-01 2.500000e-02 3.150000e+00
4.149028e-01 1.128488e-01 2.500000e-02 3.250000e+00
5.499479e-01 1.196547e-01 2.500000e-02 3.350000e+00
5.079112e-01 1.034112e-01 2.500000e-02 3.450000e+00
4.696354e-01 1.053127e-01 2.500000e-02 3.550000e+00
5.274384e-01 1.067595e-01 2.500000e-02 3.650000e+00
4.744937e-01 1.004184e-01 2.500000e-02 3.750000e+00
7.407292e-01 1.134621e-01 2.500000e-02 3.850000e+00
5.582082e-01 1.063641e-01 2.500000e-02 3.950000e+00
3.008081e-01 7.929679e-02 2.500000e-02 4.050000e+00
3.542034e-01 7.348687e-02 2.500000e-02 4.150000e+00
2.187204e-01 5.802468e-02 2.500000e-02 4.250000e+00
2.398741e-01 6.679323e-02 2.500000e-02 4.350000e+00
1.992505e-01 6.098682e-02 2.500000e-02 4.450000e+00
2.441966e-01 6.358760e-02 2.500000e-02 4.550000e+00
1.312582e-01 5.685663e-02 2.500000e-02 4.650000e+00
1.060257e-01 6.366191e-02 2.500000e-02 4.750000e+00
1.350478e-01 9.584243e-02 2.500000e-02 4.850000e+00
-3.119388e-03 3.043173e-01 2.500000e-02 4.950000e+00
nan nan 2.500000e-02 5.050000e+00
