# Intensity Error [0.167H,0.167H,0] DeltaE
#  shape: 17x70
3.454810e+01 7.909234e-01 3.000000e-02 5.000000e-02
8.075503e+00 3.845382e-01 3.000000e-02 1.500000e-01
1.403748e+00 1.599722e-01 3.000000e-02 2.500000e-01
6.213695e-01 1.126771e-01 3.000000e-02 3.500000e-01
6.410229e-01 1.083529e-01 3.000000e-02 4.500000e-01
3.108454e-01 7.539125e-02 3.000000e-02 5.500000e-01
2.373087e-01 7.522548e-02 3.000000e-02 6.500000e-01
1.452890e-01 5.746053e-02 3.000000e-02 7.500000e-01
1.265682e-01 5.997462e-02 3.000000e-02 8.500000e-01
1.077414e-01 5.083775e-02 3.000000e-02 9.500000e-01
8.922140e-02 3.990107e-02 3.000000e-02 1.050000e+00
5.325253e-02 4.712131e-02 3.000000e-02 1.150000e+00
3.570185e-02 4.347454e-02 3.000000e-02 1.250000e+00
7.044923e-02 4.988143e-02 3.000000e-02 1.350000e+00
1.401638e-01 5.541339e-02 3.000000e-02 1.450000e+00
3.496188e-02 4.267070e-02 3.000000e-02 1.550000e+00
6.909210e-02 4.227927e-02 3.000000e-02 1.650000e+00
1.029267e-01 5.428293e-02 3.000000e-02 1.750000e+00
1.365615e-01 4.828199e-02 3.000000e-02 1.850000e+00
2.198204e-01 6.552802e-02 3.000000e-02 1.950000e+00
1.512703e-01 5.042359e-02 3.000000e-02 2.050000e+00
2.995281e-01 7.441215e-02 3.000000e-02 2.150000e+00
1.973514e-01 7.352926e-02 3.000000e-02 2.250000e+00
1.957762e-01 6.926063e-02 3.000000e-02 2.350000e+00
1.623503e-01 6.496472e-02 3.000000e-02 2.450000e+00
1.505338e-01 6.021880e-02 3.000000e-02 2.550000e+00
3.464785e-01 8.166624e-02 3.000000e-02 2.650000e+00
3.368453e-01 9.723939e-02 3.000000e-02 2.750000e+00
1.125026e-01 1.383340e-01 3.000000e-02 2.850000e+00
6.729373e-01 3.885206e-01 3.000000e-02 2.950000e+00
0.000000e+00 0.000000e+00 3.000000e-02 3.050000e+00
nan nan 3.000000e-02 3.150000e+00
nan nan 3.000000e-02 3.250000e+00
nan nan 3.000000e-02 3.350000e+00
nan nan 3.000000e-02 3.450000e+00
nan nan 3.000000e-02 3.550000e+00
nan nan 3.000000e-02 3.650000e+00
nan nan 3.000000e-02 3.750000e+00
nan nan 3.000000e-02 3.850000e+00
nan nan 3.000000e-02 3.950000e+00
nan nan 3.000000e-02 4.050000e+00
nan nan 3.000000e-02 4.150000e+00
nan nan 3.000000e-02 4.250000e+00
nan nan 3.000000e-02 4.350000e+00
nan nan 3.000000e-02 4.450000e+00
nan nan 3.000000e-02 4.550000e+00
nan nan 3.000000e-02 4.650000e+00
nan nan 3.000000e-02 4.750000e+00
nan nan 3.000000e-02 4.850000e+00
nan nan 3.000000e-02 4.950000e+00
nan nan 3.000000e-02 5.050000e+00
nan nan 3.000000e-02 5.150000e+00
nan nan 3.000000e-02 5.250000e+00
nan nan 3.000000e-02 5.350000e+00
nan nan 3.000000e-02 5.450000e+00
nan nan 3.000000e-02 5.550000e+00
nan nan 3.000000e-02 5.650000e+00
nan nan 3.000000e-02 5.750000e+00
nan nan 3.000000e-02 5.850000e+00
nan nan 3.000000e-02 5.950000e+00
nan nan 3.000000e-02 6.050000e+00
nan nan 3.000000e-02 6.150000e+00
nan nan 3.000000e-02 6.250000e+00
nan nan 3.000000e-02 6.350000e+00
nan nan 3.000000e-02 6.450000e+00
nan nan 3.000000e-02 6.550000e+00
nan nan 3.000000e-02 6.650000e+00
nan nan 3.000000e-02 6.750000e+00
nan nan 3.000000e-02 6.850000e+00
