# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
2.149641e+01 1.029475e+00 1.500000e-02 5.000000e-02
6.608216e+00 5.605024e-01 1.500000e-02 1.500000e-01
1.417970e+00 2.588852e-01 1.500000e-02 2.500000e-01
4.254153e-01 1.680990e-01 1.500000e-02 3.500000e-01
3.268460e-01 1.235364e-01 1.500000e-02 4.500000e-01
3.145407e-01 1.188854e-01 1.500000e-02 5.500000e-01
0.000000e+00 0.000000e+00 1.500000e-02 6.500000e-01
2.357186e-01 1.054167e-01 1.500000e-02 7.500000e-01
1.257404e-01 7.259626e-02 1.500000e-02 8.500000e-01
5.966632e-02 5.966632e-02 1.500000e-02 9.500000e-01
-4.845565e-02 4.845565e-02 1.500000e-02 1.050000e+00
2.009791e-01 8.988084e-02 1.500000e-02 1.150000e+00
5.858215e-02 1.015237e-01 1.500000e-02 1.250000e+00
4.973692e-02 8.584613e-02 1.500000e-02 1.350000e+00
1.233973e-01 7.124356e-02 1.500000e-02 1.450000e+00
5.561017e-02 9.629686e-02 1.500000e-02 1.550000e+00
4.722536e-02 4.722536e-02 1.500000e-02 1.650000e+00
-4.557544e-02 7.910350e-02 1.500000e-02 1.750000e+00
5.078730e-02 8.838038e-02 1.500000e-02 1.850000e+00
1.308674e-01 7.555645e-02 1.500000e-02 1.950000e+00
-5.651504e-02 5.651504e-02 1.500000e-02 2.050000e+00
-4.348236e-02 7.479211e-02 1.500000e-02 2.150000e+00
-1.693668e-04 8.496588e-02 1.500000e-02 2.250000e+00
7.582409e-02 7.582408e-02 1.500000e-02 2.350000e+00
0.000000e+00 0.000000e+00 1.500000e-02 2.450000e+00
-9.539629e-05 7.037339e-02 1.500000e-02 2.550000e+00
2.565885e-01 1.481416e-01 1.500000e-02 2.650000e+00
1.926512e-01 7.281570e-02 1.500000e-02 2.750000e+00
9.024816e-02 1.565146e-01 1.500000e-02 2.850000e+00
-2.040785e-04 6.911249e-02 1.500000e-02 2.950000e+00
5.612734e-02 5.601514e-02 1.500000e-02 3.050000e+00
4.351018e-01 4.351018e-01 1.500000e-02 3.150000e+00
2.874630e-02 6.311729e-02 1.500000e-02 3.250000e+00
1.340630e-04 9.723764e-02 1.500000e-02 3.350000e+00
8.978399e-02 8.978398e-02 1.500000e-02 3.450000e+00
